metric,pre,post,value,n
ml_release_prob,pyr,vip,0.10091868661605626,18
ml_release_prob,pvalb,pyr,0.19684194472866118,97
ml_release_prob,pvalb,pvalb,0.44366873309786115,246
ml_release_prob,pvalb,sst,0.5126889330176485,18
ml_release_prob,pvalb,vip,0.14208728048347274,8
ml_release_prob,sst,pyr,0.19684194472866118,65
ml_release_prob,sst,pvalb,0.3383855153428234,63
ml_release_prob,sst,sst,0.19684194472866118,51
ml_release_prob,sst,vip,0.08733261623828434,44
ml_release_prob,vip,pyr,0.19684194472866118,2
ml_release_prob,vip,pvalb,0.17348650880973926,10
ml_release_prob,vip,sst,0.25808615404180746,31
ml_release_prob,vip,vip,0.08733261623828434,13
ml_n_release_sites,pyr,pyr,12.0,225
ml_n_release_sites,pyr,pvalb,12.0,84
ml_n_release_sites,pyr,sst,3.0,77
ml_n_release_sites,pyr,vip,3.5,18
ml_n_release_sites,pvalb,pyr,24.0,97
ml_n_release_sites,pvalb,pvalb,32.0,246
ml_n_release_sites,pvalb,sst,32.0,18
ml_n_release_sites,pvalb,vip,24.0,8
ml_n_release_sites,sst,pyr,32.0,65
ml_n_release_sites,sst,pvalb,32.0,63
ml_n_release_sites,sst,sst,32.0,51
ml_n_release_sites,sst,vip,16.0,44
ml_n_release_sites,vip,pyr,17.5,2
ml_n_release_sites,vip,pvalb,32.0,10
ml_n_release_sites,vip,sst,32.0,31
ml_n_release_sites,vip,vip,16.0,13
ml_mini_amplitude,pyr,pyr,9.831303032115102e-05,225
ml_mini_amplitude,pyr,pvalb,0.0002928489411715418,84
ml_mini_amplitude,pyr,sst,0.0005224318010732532,77
ml_mini_amplitude,pyr,vip,0.000758758484153077,18
ml_mini_amplitude,pvalb,pyr,-9.084324119612575e-05,97
ml_mini_amplitude,pvalb,pvalb,-5.646198223985266e-05,246
ml_mini_amplitude,pvalb,sst,-7.92947357695084e-05,18
ml_mini_amplitude,pvalb,vip,-7.894874943303876e-05,8
ml_mini_amplitude,sst,pyr,-5.541170321521349e-05,65
ml_mini_amplitude,sst,pvalb,-2.0247040083631873e-05,63
ml_mini_amplitude,sst,sst,-5.0994931370951235e-05,51
ml_mini_amplitude,sst,vip,-0.00011856824130518362,44
ml_mini_amplitude,vip,pyr,-7.236710212055186e-05,2
ml_mini_amplitude,vip,pvalb,-1.982555022550514e-05,10
ml_mini_amplitude,vip,sst,-2.3033617253531702e-05,31
ml_mini_amplitude,vip,vip,-0.00012891092046629637,13
latency,pyr,pyr,0.0016803906274082238,249
latency,pyr,pvalb,0.0012199635449820193,103
latency,pyr,sst,0.0014208374198244325,90
latency,pyr,vip,0.0015853454570979306,24
latency,pvalb,pyr,0.0009411100590358333,122
latency,pvalb,pvalb,0.0010040249737612715,285
latency,pvalb,sst,0.0010552237044189868,19
latency,pvalb,vip,0.0009691307220390331,11
latency,sst,pyr,0.0011804640018751352,76
latency,sst,pvalb,0.0011925232303878139,65
latency,sst,sst,0.0013967980350417773,56
latency,sst,vip,0.001339332662728978,54
latency,vip,pyr,0.001840245112969306,4
latency,vip,pvalb,0.0013558261087180936,10
latency,vip,sst,0.0013889885302228314,37
latency,vip,vip,0.001372801585529684,19
psc_rise_time,pyr,pyr,0.0018103847068037528,247
psc_rise_time,pyr,pvalb,0.0009169408229416993,93
psc_rise_time,pyr,sst,0.001278416026505596,86
psc_rise_time,pyr,vip,0.0014401583950404866,23
psc_rise_time,pvalb,pyr,0.0012675859404355364,93
psc_rise_time,pvalb,pvalb,0.0009455390864332579,196
psc_rise_time,pvalb,sst,0.0012361893735122363,20
psc_rise_time,pvalb,vip,0.0010180651840624502,6
psc_rise_time,sst,pyr,0.0023473651573246547,66
